CODIGO_ESTABLECIMIENTO,CODIGO_INSCRIPCION,Nombre_Establecimiento,Domicilio_Establecimiento,Numero_Establecimiento,Localidad_Establecimiento,Codigo_PostalEstab,Provincia_Establecimiento,Telefono_Establecimiento,Croquis_Establecimiento,Rubro,Monto,Anexo1,Monto1,Anexo2,Monto2,Anexo3,Monto3,Estado_Tramite,Fecha_CertificadoInscripción,Acta_Emplazamiento_Nº,Acta_Infraccion_Nº,Solicitudes,Observaciones,Auditoria_Numero,Fecha_auditoria,Alcances,Conformidades,No_Conformidades,Conclusiones,Material_Adjunto,Anexo_auditoria_num,Anexo_auditoria,Acta_Multinfuncion,Planilla_Descargo,Baja
"est001",1,"EL SURUPITo","MORENO","626","FIGHIERA",2126,"SANTA FE",,,9,6999.3900,1,6999.3900,225,9899.1000,,0.0000,"BAJA","12/03/14 00:00:00",,,,"0000000",1,"12/03/14 00:00:00",,,,,,,,,,1
"EST002",2,"AUTOSERVICIO FABBRI","GARAY Y SAN MARTÍN",,"FIGHIERA",2126,"SANTA FE",,,3,25097.8500,9,6999.3900,265,3999.6900,,0.0000,"FINALIZADO","05/18/09 00:00:00",,,,,,,,,,,,,,,,0
"EST003",3,"LANTERMO DISTRIBUCIÓN","SAN MARTIN","841","FIGHIERA",2126,"SANTA FE",,,2,25097.8500,,0.0000,,0.0000,,0.0000,"BAJA","08/25/08 00:00:00",,,,,,,,,,,,,,,,0
"EST004",4,"KIOSCO ROL-RU","RIVADAVIA Y ALVARADO",,"FIGHIERA",2126,"SANTA FE",,,152,3999.6900,,0.0000,,0.0000,,0.0000,"BAJA","06/21/11 00:00:00",,,,,,,,,,,,,,,,1
"EST005",5,"LOS NIETOS","PEATONAL BARRIO FONAVI CASA","13","FIGHIERA",2126,"SANTA FE",,,1,6999.3900,,0.0000,,0.0000,,0.0000,"BAJA","04/27/09 00:00:00",,,,,,,,,,,,,,,,1
"EST006",6,"OPESSA FIGHIERA ASCENDENTE","AUTOPISTA ARAMBURU","KM. 256","FIGHIERA",2126,"SANTA FE","(03402)-472052",,15,9999.0900,4,9999.0900,152,3999.6900,,0.0000,"FINALIZADO","06/18/09 00:00:00",,,,"FALTA",,,,,,,,,,,,0
"EST007",7,"AVICOLA LUCIANO","MORENO","1207","FIGHIERA",2126,"SANTA FE",,,9,6999.3900,248,3999.6900,,0.0000,,0.0000,"BAJA","07/24/09 00:00:00",,,,,20,"09/14/11 00:00:00","CONDICIONES EDILICIAS- PROCESOS DE HIGIENE Y DESINFECCIÓN.",,"DEBEN ACONDICIONARSE FRISOSY TECHO EN LA SALA DE CUARTEO Y ELABORACIÓN DE REBOZADOS. DEBEN REFORZARSE CONCEPTOS DE BUENAS PRACTICAS DE MANUFACTURA A TRAVES DE LA TRAMITACIÓN DE CARNET DE MANIPULADOR.","ES CONCLUSIÓN DE ESTA AUDITORIA PESE A LAS NO CONFORMIDADES DESTACADAS MANTENER EL ALTA DEL ESTABLECIMIENTO.",,,,,,1
"EST008",8,"DISTRIBUIDRA EL AGUILA","PUEYRREDON","866","FIGHIERA",2126,"SANTA FE",,,28,12098.9700,,0.0000,,0.0000,,0.0000,"BAJA","07/24/09 00:00:00",3,,,"No completó el trámite de inscripción. Se emitió una certificación provisoria de habilitación para permitir la compra de insumos. El establecimiento disccontinuó su actividad si remitir aviso formal al área de Alimentos .Al 24/11/2009 no se constató act",,,,,,,,,,,,1
"EST009",9,"AUTOSERVICIO CARMEN","PUEYRREDON","1141","FIGHIERA",2126,"SANTA FE",,,3,25097.8500,9,6999.3900,258,3999.6900,,0.0000,"FINALIZADO","07/29/09 00:00:00",,,,,,,,,,,,,,,,0
"EST010",10,"EL DESVIO","LINIERS Y DR. FIGARI",,"FIGHIERA",2126,"SANTA FE","(03402)-470758",,209,9899.1000,,0.0000,,0.0000,,0.0000,"BAJA","09/11/09 00:00:00",,,,,,,,,,,,,,,,1
"EST011",11,"TRES MARIAS","GARAY","552","FIGHIERA",2126,"SANTA FE",,,265,3999.6900,,0.0000,,0.0000,,0.0000,"BAJA","09/25/09 00:00:00",,,,"No se constató actividad en el local comrcial desde el 11/2012. No cumplieron con la formalidad de baja generandose la misma de oficio a partir del 01/01/2013.",,,,,,,,,,,,1
"EST012",12,"EL PATO","MORENO","1125","FIGHIERA",2126,"SANTA FE",,,265,3999.6900,,0.0000,,0.0000,,0.0000,"FINALIZADO","09/30/09 00:00:00",4,,,,,,,,,,,,,,,0
"EST013",13,"CARNICERIA","SAN MARTIN","1169","FIGHIERA",2126,"SANTA FE",,,9,6999.3900,,0.0000,,0.0000,,0.0000,"BAJA",,,,,"No completo entrega de documentación requerida por el área discontinuando la actividad comercial en un lapso de 2 meses de iniciado los trámites de inscripción sin haber complñetado los mismos.",,,,,,,,,,,,1
"EST014",14,"LA NONA","BELGRANO","1278","FIGHIERA",2126,"SANTA FE",,,248,3999.6900,,0.0000,,0.0000,,0.0000,"BAJA",,,,,"Inicio trámite el 30/11/2009 no completando el mismo habiendo sido citada en repetidas ocasiones al área para requerir la cumplimentación del pago  para formalizar la inscripción.",,,,,,,,,,,,1
"EST015",15,"QUINCHO DON PALMIRO","MORENO","1147","FIGHIERA",2126,"SANTA FE",,,15,9999.0900,11,7099.3800,,0.0000,,0.0000,"FINALIZADO","08/04/10 00:00:00",,,,,22,"09/15/11 00:00:00",,,,,,,,,,0
"EST016",16,"KIOSCO Y DESPENSA BRASSESCO","MORENO","654","FIGHIERA",2126,"SANTA FE",,,1,6999.3900,265,3999.6900,,0.0000,,0.0000,"BAJA","03/16/11 00:00:00",,,,"CERTIF. BAJA 29-11-2013  - Por restructuracion  y creación de archivo electrónico se modificó el Nº de archivo Expte 017 por el actual Expte 016 el dia 15/01/2016",,,,,,,,,,,,1
"EST017",17,"AUTOSERVICIO EL CEIBO","BELGRANO","1203","FIGHIERA",2126,"SANTA FE",,,3,25097.8500,9,6999.3900,258,3999.6900,,0.0000,"FINALIZADO","05/05/11 00:00:00",,,,,,,,,,,,,,,,0
"EST018",18,"ALMACEN CHIQUINI","ALVARADO","458","FIGHIERA",2126,"SANTA FE",,,1,6999.3900,265,3999.6900,,0.0000,,0.0000,"FINALIZADO","06/09/11 00:00:00",,,,,,,,,,,,,,,,0
"EST019",19,"DIETETICA BELGRANO","BELGRANO","690","FIGHIERA",2126,"SANTA FE",,,142,25197.8400,,0.0000,,0.0000,,0.0000,"BAJA","06/15/11 00:00:00",,,,"DADO DE BAJA",,,,,,,,,,,,1
"EST020",20,"MINIMERCADO CHICHE","ALVARADO","520","FIGHIERA",2126,"SANTA FE",,,1,6999.3900,9,6999.3900,,0.0000,,0.0000,"BAJA","08/16/11 00:00:00",,,,"No solicito la baja. Se constató la interrupción de las actividad.",,,,,,,,,,,,1
"EST021",21,"CHANTA 4","URIBURU","723","FIGHIERA",2126,"SANTA FE",,,37,3999.6900,,0.0000,,0.0000,,0.0000,"FINALIZADO",,,,,,,,,,,,,,,,,0
"EST022",22,"KIOSCA LIBRA","MARCONI","541","FIGHIERA",2126,"SANTA FE",,,152,3999.6900,254,7899.3000,249,3999.6900,,0.0000,"FINALIZADO","11/16/01 00:00:00",,,,,,,,,,,,,,,,0
"EST023",23,"SANTA LUCIA","BELGRANO","690","FIGHIERA",2126,"SANTA FE",,,1,6999.3900,265,3999.6900,121,7899.3000,,0.0000,"FINALIZADO",,,,,,,,,,,,,,,,,0
"EST024",24,"KIOSCO - TELECENTRO","MORENO","971","FIGHIERA",2126,"SANTA FE",,,152,3999.6900,,0.0000,,0.0000,,0.0000,"BAJA","10/20/11 00:00:00",,,,,,,,,,,,,,,,1
"EST025",25,"DON PAULINO PESCADOS Y MARISCOS","GARAY","785","FIGHIERA",2126,"SANTA FE",,,261,3999.6900,38,7099.3800,,0.0000,,0.0000,"BAJA","11/16/11 00:00:00",,,,,,,,,,,,,,,,0
"EST026",26,"LOS DOS ANGELES","ANDRADE","661","FIGHIERA",2126,"SANTA FE",,,265,3972.6900,1,6999.3900,,0.0000,,0.0000,"BAJA","12/13/12 00:00:00",,,,,,,,,,,,,,,,1
"EST027",27,,,,"FIGHIERA",2126,"SANTA FE",,,,0.0000,,0.0000,,0.0000,,0.0000,"BAJA",,,,,,,,,,,,,,,,,1
"EST028",28,"KIOSCO ""CHOLO""","GARAY","616","FIGHIERA",2126,"SANTA FE",,,152,3999.6900,,0.0000,,0.0000,,0.0000,"BAJA",,,,,"baja 29-12-2015",,,,,,,,,,,,1
"EST029",29,"SAN CAR","SAN MARTIN","1169","FIGHIERA",2126,"SANTA FE",,,9,6999.3900,1,6999.3900,,0.0000,,0.0000,"BAJA","11/29/11 00:00:00",,,,,,,,,,,,,,,,1
"EST030",30,"PUESTO  ""DON FERNANDO""","RIVADAVIA","702","FIGHIERA",2126,"SANTA FE",,,1,6999.3900,,0.0000,,0.0000,,0.0000,"BAJA","11/16/11 00:00:00",,,,,,,,,,,,,,,,1
"EST031",31,"COLMENARES BELU Y MIS","MARCONI","612","FIGHIERA",2126,"SANTA FE",,,139,12098.9700,142,25197.8400,,0.0000,,0.0000,"BAJA","01/13/12 00:00:00",,,,"DADO DE BAJA",,,,,,,,,,,,1
"EST032",32,"DEPOSITO MRAVICICH","COLON","415","FIGHIERA",2126,"SANTA FE",,,28,12098.9700,,0.0000,,0.0000,,0.0000,"FINALIZADO","04/12/13 00:00:00",,,,,,,,,,,,,,,,0
"EST033",33,"FABRICACION DE SODA","COLON","740","FIGHIERA",2126,"SANTA FE",,,113,7899.3000,,0.0000,,0.0000,,0.0000,"BAJA","01/09/12 00:00:00",,,,"regularizar situación con Gallardo/hacer baja o transferencia",,,,,,,,,,,,1
"EST051",51,"PANADERIA NIL-CE","URIBURU","736","FIGHIERA",2126,"SANTA FE",,,178,12098.9700,90,7899.3000,,0.0000,,0.0000,"BAJA","09/04/12 00:00:00",,,,,37,"09/04/12 00:00:00",,,,,,,,,,1
"EST052",52,"LAURO CARNES","ANDRADE","341","FIGHIERA",2126,"SANTA FE",,,9,6999.3900,,0.0000,,0.0000,,0.0000,"FINALIZADO","08/27/12 00:00:00",,,,,36,"08/27/12 00:00:00",,,,,,,,,,0
"EST053",53,"LOS DOS ANGELES","ANDRADE","661","FIGHIERA",2126,"SANTA FE","0340215522695",,265,3999.6900,1,6999.3900,,0.0000,,0.0000,"BAJA","12/13/12 00:00:00",,,,,38,"12/13/12 00:00:00",,,,,,,,,,1
"EST054",54,"PRINCESAS Y PIRATAS","SAN MARTIN","1077","FIGHIERA",2126,"SANTA FE","0340215447669",,212,9899.1000,,0.0000,,0.0000,,0.0000,"BAJA","03/12/13 00:00:00",,,"SOLICITUD DE BAJA INCOMPLETA","BAJA",40,"03/12/13 00:00:00",,,,,,,,,,1
"EST055",55,"BAR Y ROTISERIA","MARCONI Y MORENO",,"FIGHIERA",2126,"SANTA FE",,,4,9999.0900,210,9899.1000,,0.0000,,0.0000,"BAJA",,,,,,41,"04/12/13 00:00:00",,,,,,,,,,1
"EST056",56,"KIOSCO ARMOA","SAAVEDRA","716","FIGHIERA",2126,"SANTA FE",,,152,3999.6900,,0.0000,,0.0000,,0.0000,"BAJA","05/29/13 00:00:00",,,,,,,,,,,,,,,,0
"EST057",57,"DESPENSA MARI-TE","SARMIENTO","876","FIGHIERA",2126,"SANTA FE","03402470655",,,0.0000,,0.0000,,0.0000,,0.0000,"BAJA",,,,,,,,,,,,,,,,,1
"EST058",58,"DESPENSA ALEGRIA","MARCONI","464","FIGHIERA",2126,"SANTA FE","03402470158",,38,7099.3800,258,3999.6900,,0.0000,,0.0000,"FINALIZADO","01/00/00 00:00:00",,,,,,,,,,,,,,,,0
"EST059",59,"alma de pueblo","rivadavia","602","FIGHIERA",2126,"SANTA FE",,,1,6999.3900,4,9999.0900,,0.0000,,0.0000,"BAJA","10/02/14 00:00:00",,,,,,,,,,,,,,,,1
"EST060",60,"despensa el pato","sarmiento","1170","FIGHIERA",2126,"SANTA FE",,,38,7099.3800,258,3999.6900,,0.0000,,0.0000,"BAJA","09/27/13 00:00:00",,,,,,,,,,,,,,,,1
"EST061",61,"SPINA GABRIEL RODRIGO JOSE","ANDRADE","641","FIGHIERA",2126,"SANTA FE",,,248,3999.6900,,0.0000,,0.0000,,0.0000,"BAJA",,,,,,,,,,,,,,,,,1
"EST062",62,"AUTOSERVICIO BRASSESCO","MORENO","645","FIGHIERA",2126,"SANTA FE","0340215482098",,3,25097.8500,9,6999.3900,265,3999.6900,,0.0000,"FINALIZADO","12/04/13 00:00:00",,,,,,,,,,,,,,,,0
"EST063",63,"CIRCO DE CHOCOLATE","GUIDO SPANO","541","FIGHIERA",2126,"SANTA FE","03402470439",,212,9899.1000,,0.0000,,0.0000,,0.0000,"FINALIZADO","12/04/13 00:00:00",,,,,,,,,,,,,,,,0
"EST064",64,"SODERIA GALLARDO","MORENO","885","FIGHIERA",2126,"SANTA FE",,,113,7899.3000,19,15098.6700,193,3999.6900,,0.0000,"BAJA","02/20/14 00:00:00",,,,,,,,,,,,,,,,1
"EST065",65,"LA CASCADA","ZONA RURAL FIGHIERA",,"FIGHIERA",2126,"SANTA FE",,,15,9999.0900,,0.0000,,0.0000,,0.0000,"BAJA","12/18/13 00:00:00",,,,,,,,,,,,,,,,1
"EST066",66,"autoservicio teglia","uriburu","640","FIGHIERA",2126,"SANTA FE","03402470812",,3,25097.8500,258,3999.6900,,0.0000,,0.0000,"FINALIZADO",,,,,,,,,,,,,,,,,0
"EST067",67,"casa de viandas baldelomar","marconi","340","FIGHIERA",2126,"SANTA FE",,,12,7099.3800,,0.0000,,0.0000,,0.0000,"BAJA","04/04/14 00:00:00",,,"solicitud de baja 31/10/2014","se otorga certificado de baja  31/10/2014",,,,,,,,,,,,1
"EST068",68,"amc verduleria","roque saenz peña","947","FIGHIERA",2126,"SANTA FE",,,265,3999.6900,,0.0000,,0.0000,,0.0000,"FINALIZADO","05/13/14 00:00:00",,,,,63,"05/13/14 00:00:00",,,,,,,,,,1
"EST069",69,"la pororera","venta ambulante",,"FIGHIERA",2126,"SANTA FE",,,241,3999.6900,,0.0000,,0.0000,,0.0000,"BAJA",,,,,,,,,,,,,,,,,1
"EST070",70,"maxi kiosco sole","uriburu","951","FIGHIERA",2126,"SANTA FE",,,152,3999.6900,,0.0000,,0.0000,,0.0000,"FINALIZADO","09/25/14 00:00:00",,,,,65,"09/25/14 00:00:00",,,,,,,,,,1
"EST071",71,"quincho azahares del parana","zona rural fighiera",,"FIGHIERA",2126,"SANTA FE",,,4,9999.0900,,0.0000,,0.0000,,0.0000,"FINALIZADO","10/01/14 00:00:00",,,,,66,"10/01/14 00:00:00",,,,,,,,,,0
"EST072",72,"tio ringo","marconi","792","FIGHIERA",2126,"SANTA FE",,,248,3999.6900,250,3999.6900,121,7899.3000,,0.0000,"BAJA","10/03/14 00:00:00",,,,,67,"10/03/14 00:00:00",,,,,,,,,,1
"EST073",73,"LA QUINTA","AMEGHINO","746","FIGHIERA",2126,"SANTA FE",,,265,3999.6900,,0.0000,,0.0000,,0.0000,"BAJA","10/09/14 00:00:00",,,,"No completo el tramite. Se presento una nueva solicitud a nombre de otro titular",68,"10/09/14 00:00:00",,,,,,,,65,,1
"EST074",74,"TIENDA LISI-LENCI","RIVADAVIA","1259","FIGHIERA",2126,"SANTA FE","03402470149",,4,9999.0900,249,3999.6900,152,3999.6900,,0.0000,"FINALIZADO","10/30/14 00:00:00",,,,,69,"10/30/14 00:00:00",,,,,,,,,,0
"EST076",76,"CARRITO DE PORORO SAN CAYETANO","VENTA AMBULANTE",,"FIGHIERA",2126,"SANTA FE",,,241,3999.6900,,0.0000,,0.0000,,0.0000,"FINALIZADO",,,,,,,,,,,,,,,,,0
"EST077",77,"COCO, UN MUNDO DE DULZURA","RIVADAVIA","794","FIGHIERA",2126,"SANTA FE",,,7,9999.0900,,0.0000,,0.0000,,0.0000,"BAJA",,,,,,,,,,,,,,,,,1
"EST078",78,"A VER SI AHORRA","RUTA 21","KM. 269","FIGHIERA",2126,"SANTA FE",,,3,25097.8500,,0.0000,,0.0000,,0.0000,"FINALIZADO","03/10/15 00:00:00",,,,,,,,,,,,,,,,0
"EST080",80,"MAXIKIOSCO LA BARRA","MORENO","1027","FIGHIERA",2126,"SANTA FE",,,152,3999.6900,,0.0000,,0.0000,,0.0000,"BAJA",,,,,,,,,,,,,,,,,1
"EST086",86,"ALMACEN MARCELO","BELGRANO","1851","FIGHIERA",2126,"SANTA FE",,,1,6999.3900,,0.0000,,0.0000,,0.0000,"BAJA",,,,,,,,,,,,,,,,,1
"EST087",87,"POLLERIA EL NONO LITO","guido spano","703","FIGHIERA",2126,"SANTA FE","0340215540141",,1,6999.3900,248,3999.6900,,0.0000,,0.0000,"FINALIZADO","02/11/16 00:00:00",,,,,,,,,,,,,,,,0
"EST088",88,"CARRITO LA TOTI","VENTA AMBULANTE",,"FIGHIERA",2126,"SANTA FE",,,10,3999.6900,,0.0000,,0.0000,,0.0000,"FINALIZADO",,,,,,,,,,,,,,,,,1
"EST089",89,"AUTOSERVICIO LEONE","RIVADAVIA","902","FIGHIERA",2126,"SANTA FE",,,3,25097.8500,9,6999.3900,265,3999.6900,121,7899.3000,"PENDIENTE DE PAGO",,,,,,,,,,,,,,,,,0
"EST090",90,"Kiosco Roman","AMEGHINO","729","FIGHIERA",2126,"SANTA FE","03402470115",,152,3999.6900,249,3999.6900,,0.0000,,0.0000,"FINALIZADO",,,,,,,,,,,,,,,,,1
"EST091",91,"AUTOSERVICIO LITO","URIBURU","429","FIGHIERA",2126,"SANTA FE",,,3,25097.8500,9,6999.3900,,730.0800,,0.0000,"FINALIZADO",,,,,,,,,,,,,,,,,0
"EST092",92,"FIAMBRERIA PALMIERI","ANDRADE","464","FIGHIERA",2126,"SANTA FE","03402470017",,1,6999.3900,121,7899.3000,28,12098.9700,32,12098.9700,"FINALIZADO",,,,,,,,,,,,,,,,,0
"EST093",93,"DISTRIBUIDORA SETTETROMBE","ALVARADO","673","FIGHIERA",2126,"SANTA FE",,,31,12098.9700,32,12098.9700,,0.0000,,0.0000,"FINALIZADO",,,,,,,,,,,,,,,,,0
"EST094",94,"BAR Y COMEDOR KM 256 S.R.L.","AUTOPISTA  ARAMBURU","KM. 256","FIGHIERA",2126,"SANTA FE","03402470203",,15,9999.0900,4,9999.0900,152,3999.6900,,0.0000,"FINALIZADO",,,,,,,,,,,,,,,,,0
"EST095",95,"LA NILDA","COLON","417","FIGHIERA",2126,"SANTA FE",,,152,3999.6900,,0.0000,,0.0000,,0.0000,"FINALIZADO",,,,,,,,,,,,,,,,,0
"est096",96,"la muñeca","andrade","314","FIGHIERA",2126,"SANTA FE","03402470133",,1,6999.3900,265,3999.6900,,0.0000,,0.0000,"BAJA",,,,,,,,,,,,,,,,,1
"EST097",97,"PARRILLA DON CLAUDIO","SAN MARTIN","485","FIGHIERA",2126,"SANTA FE",,,209,9899.1000,210,9899.1000,,0.0000,,0.0000,"BAJA",,,,,,,,,,,,,,,,,1
"EST098",98,"MARICEL CORNEJO","JUAN PAGNAN","689","FIGHIERA",2126,"SANTA FE",,,38,7099.3800,,0.0000,,0.0000,,0.0000,"BAJA",,,,,,,,,,,,,,,,,1
"EST099",99,"AUTOSERVICIO  MENDEZ","MORENO","849","FIGHIERA",2126,"SANTA FE",,,1,6999.3900,265,3999.6900,9,6999.3900,,0.0000,"BAJA",,,,,,,,,,,,,,,,,1
"EST100",100,"LA NUEVA","SAN MARTIN","613","FIGHIERA",2126,"SANTA FE","03402470194",,178,12098.9700,1,6999.3900,90,7899.3000,,0.0000,"BAJA",,,,,,,,,,,,,,,,,1
"est131",131,"kiosco de la avenida","garay","720","FIGHIERA",2126,"SANTA FE","03402470379",,1,6999.3900,152,3999.6900,,0.0000,,0.0000,"FINALIZADO",,,,,,,,,,,,,,,,,0
"est134",134,"eclipse","ruta 21","s/Nº","FIGHIERA",2126,"SANTA FE",,,37,3999.6900,,0.0000,,0.0000,,0.0000,"BAJA",,,,,,,,,,,,,,,,,1
"est132",132,"ABRI-MAR DULCES TENTACIONES","VENTA AMBULANTE",,"FIGHIERA",2126,"SANTA FE","0340215532345",,268,10142.8200,,0.0000,,0.0000,,0.0000,"FINALIZADO","07/31/19 00:00:00",,,,,,,,,,,,,,,,0
"Est130",130,"ABRI-MAR DULCES TENTACIONES","PUEYRREDON","349","FIGHIERA",2126,"SANTA FE","0340215532345",,268,10142.8200,269,10142.8200,,0.0000,,0.0000,"FINALIZADO",,,,,,,,,,,,,,,,,0
"EST135",135,"GRANJA EVA","MORENO","847","FIGHIERA",2126,"SANTA FE","0340215449616",,1,6999.3900,258,3999.6900,248,3999.6900,,0.0000,"BAJA",,,,,,,,,,,,,,,,,0
"EST136",136,,,,"FIGHIERA",2126,"SANTA FE",,,,0.0000,,0.0000,,0.0000,,0.0000,,,,,,,,,,,,,,,,,,1
"EST137",137,"FENIX CAFÉ BAR","MORENO","865","FIGHIERA",2126,"SANTA FE",,,4,9999.0900,,0.0000,,0.0000,,0.0000,"FINALIZADO",,,,,,,,,,,,,,,,,0
"EST138",138,"MANPERRA.46","SAN MARTIN","577","FIGHIERA",2126,"SANTA FE",,,249,3999.6900,,0.0000,,0.0000,,0.0000,"BAJA","01/23/20 00:00:00",,,,,,,,,,,,,,,,0
"est139",139,"los tres hermanos","rivadavia","602","FIGHIERA",2126,"SANTA FE","336415290989",,1,6999.3900,,0.0000,,0.0000,,0.0000,"BAJA",,,,,,,,,,,,,,,,,0
"EST140",140,"L y L","SAN mARTIN","857","FIGHIERA",2126,"SANTA FE",,,265,3999.6900,,0.0000,,0.0000,,0.0000,"BAJA",,,,,,,,,,,,,,,,,1
"est144",144,"CASA DULCE","SAN MARTIN","1693","FIGHIERA",2126,"SANTA FE","0340215550198",,,,,0.0000,,0.0000,,0.0000,"PENDIENTE DE PAGO",,,,,,,,,,,,,,,,,1
"est146",146,"los 2 angeles","andrade","661","FIGHIERA",2126,"SANTA FE","0340215522895",,265,3999.6900,1,6999.3900,,0.0000,,0.0000,,,,,,,,,,,,,,,,,,0
"est126",126,"quincho don palmiro x 2","pueyrredon","1037","FIGHIERA",2126,"SANTA FE",,,210,9899.1000,,0.0000,,0.0000,,0.0000,"FINALIZADO",,,,,,,,,,,,,,,,,0
"est127",127,"el yoni","venta ambulante",,"FIGHIERA",2126,"SANTA FE","34024470609",,10,3999.6900,,0.0000,,0.0000,,0.0000,"BAJA",,,,,,126,"11/16/18 00:00:00",,,,,,,,,,1
"est128",128,"OKTUBRE","PUEYRREDON","1124","FIGHIERA",2126,"SANTA FE",,,248,3999.6900,,0.0000,,0.0000,,0.0000,"BAJA","11/16/18 00:00:00",,,,,126,"11/16/18 00:00:00",,,,,,,,,,0
"est129",129,"CARRITO BENJA","VENTA ABULANTE",,"FIGHIERA",2126,"SANTA FE","0340215527759",,10,3999.6900,,0.0000,,0.0000,,0.0000,"BAJA",,,,,,,,,,,,,,,,,0
"est148",148,"polleria ana","andrade","447","FIGHIERA",2126,"SANTA FE",,,248,3999.6900,1,6999.3900,,0.0000,,0.0000,"FINALIZADO",,,,,,,,,,,,,,,,,0
"est149",149,"AMERICANO","MORENO","1134 LOCAL 2","FIGHIERA",2126,"SANTA FE","0341153620627",,152,3999.6900,,0.0000,,0.0000,,0.0000,"BAJA",,,,,,,,,,,,,,,,,0
"est150",150,"leilany","san martin","857","FIGHIERA",2126,"SANTA FE","0341153968258",,265,3999.6900,,0.0000,,0.0000,,0.0000,"BAJA",,,,,,,,,,,,,,,,,1
"est152",152,"Kiosco Pepe","liniers","S/Nº","FIGHIERA",2126,"SANTA FE","03402470196",,1,6999.3900,,0.0000,,0.0000,,0.0000,"FINALIZADO",,,,,,,,,,,,,,,,,0
"est153",153,"Despensa Ninja","Güemes","805","FIGHIERA",2126,"SANTA FE",,,1,6999.3900,,0.0000,,0.0000,,0.0000,"BAJA",,,,,,,,,,,,,,,,,0
"est160",160,"JARDIN DE MIS ABUELOS","PUEYRREDON","854","FIGHIERA",2126,"SANTA FE","03402470390",,14,9999.0900,,0.0000,,0.0000,,0.0000,"PENDIENTE DE PAGO","03/05/21 00:00:00",,,,,,,,,,,,,,,,0
"est161",161,"Reni & Simon","Moreno","1091","FIGHIERA",2126,"SANTA FE","03402470189",,152,3999.6900,,0.0000,,0.0000,,0.0000,"PENDIENTE DE PAGO",,,,,,,,,,,,,,,,,1
"est162",162,"LA POLLERIA DE JUAN","URIBURU","783","FIGHIERA",2126,"SANTA FE","0340215553897",,248,1277.6400,1,6999.3900,,0.0000,,0.0000,"BAJA",,,,,,,,,,,,,,,,,0
"est163",163,"caritas felices","venta ambulante",,"FIGHIERA",2126,"SANTA FE","0340215503327",,241,3999.6900,,0.0000,,0.0000,,0.0000,"FINALIZADO","10/05/21 00:00:00",,,,,,,,,,,,,,,,0
"EST164",164,"POCHOCLERA EL SAPITO","VENTA AMBULANTE",,"FIGHIERA",2126,"SANTA FE","0340215540792",,241,3999.6900,,0.0000,,0.0000,,0.0000,"FINALIZADO","11/02/21 00:00:00",,,,,,,,,,,,,,,,0
